market,industry_macro_category,split,feature,count,mean_abs_shap,mean_signed_shap,rank_within_group
KOSDAQ,other,train,capital_impairment_ratio,11,0.28661866079677234,0.0026245388117703524,16
KOSDAQ,other,train,cashflow_coverage_ratio,16,0.28066403791308403,-0.28066403791308403,17
KOSDAQ,other,train,cash_ratio,7,0.2792491614818573,0.11921847292355128,18
KOSDAQ,other,train,listed_year,1,0.23282644152641296,0.23282644152641296,19
KOSDAQ,other,train,current_ratio,1,0.2258308231830597,0.2258308231830597,20
KOSDAQ,other,train,depreciation,3,0.17652718722820282,0.17652718722820282,21
KOSDAQ,other,train,operating_roa,1,0.12736424803733826,-0.12736424803733826,22
KOSDAQ,other,valid,industry_macro_category,4,0.9301894754171371,-0.9301894754171371,1
KOSDAQ,other,valid,firm_size_group,2,0.7417646646499634,-0.39398276805877686,2
KOSDAQ,other,valid,interest_coverage_ratio,4,0.5508777350187302,-0.5508777350187302,3
KOSDAQ,other,valid,total_debt_turnover,1,0.3966202139854431,-0.3966202139854431,4
KOSDAQ,other,valid,cash_ratio,2,0.35206685960292816,-0.0511559396982193,5
KOSDAQ,other,valid,gross_profit,4,0.3371850401163101,-0.14492347836494446,6
KOSDAQ,other,valid,equity_ratio,1,0.30562812089920044,-0.30562812089920044,7
KOSDAQ,other,valid,dividend_payer,4,0.2846905514597893,0.10252917557954788,8
KOSDAQ,other,valid,assets_total,4,0.2841734290122986,-0.129964217543602,9
KOSDAQ,other,valid,net_margin,4,0.27469048649072647,-0.27469048649072647,10
KOSDAQ,other,valid,total_borrowings_ratio,2,0.2430119924247265,-0.14387654140591621,11
KOSDAQ,other,valid,capital_impairment_ratio,3,0.22950791815916696,-0.22950791815916696,12
KOSDAQ,other,valid,operating_roa,1,0.20956997573375702,-0.20956997573375702,13
KOSDAQ,other,valid,cashflow_coverage_ratio,3,0.20677450795968375,-0.20677450795968375,14
KOSDAQ,other,valid,ocf_to_sales,1,0.17924189567565918,-0.17924189567565918,15
KOSDAQ,transport_storage,test,listed_year,2,0.6316113471984863,0.6316113471984863,1
